Ruta,Recorrido,Distancia,Empresa
Hatillo - Alajuelita,Ruta San Jose - Paso Ancho - Loma Linda,8.207142,empresa CONATRA SA
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17.460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17.460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17.460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17.460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17.460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - La Aurora,17.460575,empresa METROCOOP R.L.
Hatillo - Alajuelita,Ruta San Jose - Paso Ancho - Santa Rosa,7.877076,AUTOTTES. ZAPOTE SA
Central,Ruta San Jose - Sabana - Cementerio,6.781973,NULL
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio por La Salle,10.327715,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Estadio (por AMPM),10.269761,empresa TRANSCESA SA
Central,Ruta San Jose - Cementerio - Sabana,6.687495,empresa TRANSCESA SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta San Jose - Sabana - Cementerio - Barrio la Pitahaya,7.002422,Auttes. SABANA ? CEMENTERIO SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta Barrio La Cruz - San Jose por seminario,12.443585,MEGASOSO DE LAS LOMAS DEL SUR SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Central,Ruta San Jose - Barrio Escalante - La U,12.5169,TTES. GUILIAL SA
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - Tejarcillos,13.713752,empresa TTES. 205 SA
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - Tejarcillos,13.713752,empresa TTES. 205 SA
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - Tejarcillos,13.713752,empresa TTES. 205 SA
Hatillo - Alajuelita,Ruta San Jose - Alajuelita - Tejarcillos,13.713752,empresa TTES. 205 SA
Guadalupe - Moravia,Ruta San Jose - Coronado,21.19235,empresa AUTOTTES. MORAVIA SA
Guadalupe - Moravia,Ruta San Jose - Coronado,21.19235,empresa AUTOTTES. MORAVIA SA
Guadalupe - Moravia,Ruta San Jose - Purral de Guadalupe - El Alto,20.539547,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Purral de Guadalupe - El Alto,20.539547,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Purral de Guadalupe - Kuru,7.854259,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Purral de Guadalupe - Kuru,7.854259,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Mozotal de Guadalupe,18.834051,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Mozotal de Guadalupe,18.834051,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Mozotal de Guadalupe,18.834051,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Mozotal de Guadalupe,18.834051,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Mozotal de Guadalupe,18.834051,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Mozotal de Guadalupe,18.834051,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Mozotal de Guadalupe,18.834051,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta San Jose - Mozotal de Guadalupe,18.834051,empresa GUADALUPE/ ltda
Guadalupe - Moravia,Ruta Coronado - Las Nubes - Cascajal,20.821001,AUTOBUSES UNIDOS CORONADO SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Guadalupe - Moravia,Ruta San Jose - Calle Blancos - San Antonio Por San Francisco,11.565129,empresa TRANSVI/ SA
Pavas,Ruta San Jose - Zona 2,15.511716,AUTOTRANSPORTES PAVAS SA
Pavas,Ruta San Jose - Lomas,19.870646,AUTOTRANSPORTES PAVAS SA
Pavas,Ruta San Jose - Lomas,19.870646,AUTOTRANSPORTES PAVAS SA
Pavas,Ruta San Jose - Lomas,19.870646,AUTOTRANSPORTES PAVAS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - San Rafael Arriba,16.248552,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Calle Fallas,15.350969,empresa AUTOTTES. DESAMPARADOS SA
San Francisco - Desamparados,Ruta San Jose - San Francisco - El Bosque - La Pacifica - La Caba�a,13.085876,empresa TRANSBOSQUE LA PAC�FICA SA
San Francisco - Desamparados,Ruta San Jose - San Francisco - El Bosque - La Pacifica - La Caba�a,13.085876,empresa TRANSBOSQUE LA PAC�FICA SA
San Francisco - Desamparados,Ruta San Jose - Los Guido (por cementerio),22.264489,empresa AUTOTTES. LOS GUIDO SA
San Francisco - Desamparados,Ruta San Jose - Los Guido (por cementerio),22.264489,empresa AUTOTTES. LOS GUIDO SA
San Francisco - Desamparados,Ruta San Jose - Los Guido (por cementerio),22.264489,empresa AUTOTTES. LOS GUIDO SA
San Francisco - Desamparados,Ruta San Jose - Los Guido (por cementerio),22.264489,empresa AUTOTTES. LOS GUIDO SA
San Francisco - Desamparados,Ruta San Jose - Los Guido (por cementerio),22.264489,empresa AUTOTTES. LOS GUIDO SA
San Francisco - Desamparados,Ruta San Jose - Los Guido (por cementerio),22.264489,empresa AUTOTTES. LOS GUIDO SA
San Francisco - Desamparados,Ruta San Jose - Los Guido (por cementerio),22.264489,empresa AUTOTTES. LOS GUIDO SA
San Francisco - Desamparados,Ruta San Jose - Los Guido (por cementerio),22.264489,empresa AUTOTTES. LOS GUIDO SA
San Francisco - Desamparados,Ruta San Jose - Desamparados - Lomas - San Rafael,15.735992,NULL
